18禁	18禁 🔞
停止按钮	停止按钮 ⏹️
停止标志	停止标志 🛑
停车	停车 🅿️
停车场	停车场 🅿️
停车按钮	停车按钮 🅿️
健康工作者	健康工作者 🧑‍⚕️
健身	健身 💪
偷偷看	偷偷看 🫣
偷偷瞧	偷偷瞧 🫣
偷看	偷看 (/ω＼*)………(/ω•＼*) 🫣
偷瞧	偷瞧 🫣
偷窥	偷窥 ┬┴┤_•)
偷笑	偷笑 😏
傍晚	傍晚 🌆 🌇
傲慢	傲慢 😤
傻	傻 🤪
傻瓜	傻瓜 🤪
傻瓜脸	傻瓜脸 🤪
傻笑	傻笑 😆 😏
傻逼	傻逼 🤬
僵尸	僵尸 🧟
儿子	儿子 👦 🛉
儿童	儿童 👦 👧 🚸 🛉 🛊 🧒
儿童过街	儿童过街 🚸
元	元 ㍐
元宵	元宵 ⚪
兄弟	兄弟 👬
充电	充电 🔌
兆	兆 ㍋
兆吨	兆吨 ㍌
先令	先令 ㌡
光头	光头 👨‍🦲 👩‍🦲 🦲 🧑‍🦲
光头女	光头女 👩‍🦲
光头女人	光头女人 👩‍🦲
光头女子	光头女子 👩‍🦲
光头男	光头男 👨‍🦲
光头男人	光头男人 👨‍🦲
光头男子	光头男子 👨‍🦲
光明	光明 🌞
光明节	光明节 🕎
光环	光环 😇
光盘	光盘 💽 💿 📀
光碟	光碟 💽
克	克 ㌘
克利珀顿	克利珀顿 🇨🇵
克利珀顿岛	克利珀顿岛 🇨🇵
克吨	克吨 ㌙
克尔白	克尔白 🕋
克拉	克拉 ㌌
克朗	克朗 ㌛
克罗地亚	克罗地亚 🇭🇷
克罗地亚共和国	克罗地亚共和国 🇭🇷
克鲁塞罗	克鲁塞罗 ㌚
克鲁纳	克鲁纳 ㌝
免费	免费 🆓 🈚
免费按钮	免费按钮 🆓
兑	兑 ☱
兑换	兑换 💱
兔	兔 🐇 🐰
兔先生	兔先生 👨‍🐰‍👨 👯
兔头	兔头 🐰
兔女郎	兔女郎 👩‍🐰‍👩 👯
兔子	兔子 🐇 🐰
兔子头	兔子头 🐰
兔子脸	兔子脸 🐰
兔耳朵	兔耳朵 👯 🧑‍🐰‍🧑
兔脸	兔脸 🐰
党	党 ☭
入场券	入场券 🎟️
全新	全新 🆕
全莲花坐	全莲花坐 🧘
八	八 8️⃣
八万	八万 🀎
八分音符	八分音符 ♪
八卦	八卦 ☯️ ☰ ☱ ☲ ☳ ☴ ☵ ☶ ☷
八条	八条 🀗
八点	八点 🕗
八点半	八点半 🕣
八点钟	八点钟 🕗
八筒	八筒 🀠
八角星	八角星 ✴️
八轮辐星	八轮辐星 ✳️
八边形	八边形 🛑
公主	公主 👸
公事包	公事包 💼
公交	公交 🚌 🚍 🚎 🚏 🚐
公交站	公交站 🚏
公交车	公交车 🚌 🚍
公交车站	公交车站 🚏
公亩	公亩 ㌃
公共广播	公共广播 📢
公共汽车	公共汽车 🚌 🚍
公共汽车站	公共汽车站 🚏
公司	公司 ㌞
公园	公园 ⛲ 🏞️
公寓	公寓 ㌀
公寓楼	公寓楼 ㍇
公文包	公文包 💼
公牛	公牛 🐂
公羊	公羊 🐏
公路	公路 🛣️
公车	公车 🚌 🚍
公顷	公顷 ㌶
公鸡	公鸡 🐓
六	六 6️⃣
六万	六万 🀌
六六六	六六六 🤙
六十四卦	六十四卦 ䷀ ䷁ ䷂ ䷃ ䷄ ䷅ ䷆ ䷇ ䷈ ䷉ ䷊ ䷋ ䷌ ䷍ ䷎ ䷏ ䷐ ䷑ ䷒ ䷓ ䷔ ䷕ ䷖ ䷗ ䷘ ䷙ ䷚ ䷛ ䷜ ䷝ ䷞ ䷟ ䷠ ䷡ ䷢ ䷣ ䷤ ䷥ ䷦ ䷧ ䷨ ䷩ ䷪ ䷫ ䷬ ䷭ ䷮ ䷯ ䷰ ䷱ ䷲ ䷳ ䷴ ䷵ ䷶ ䷷ ䷸ ䷹ ䷺ ䷻ ䷼ ䷽ ䷾ ䷿
六条	六条 🀕
六点	六点 🕕
六点半	六点半 🕡
六点钟	六点钟 🕕
六筒	六筒 🀞
六芒星	六芒星 ✡️ 🔯
六角星	六角星 🔯
六边形	六边形 ⎔
兰	兰 🀣
共产主义	共产主义 ☭
共产党	共产党 ☭
关东煮	关东煮 🍢
关岛	关岛 🇬🇺
关机	关机 📴
关闭手机	关闭手机 📴
兴奋	兴奋 (p≧w≦q) 😳
兵	兵 ♙ ♟️
内心气泡	内心气泡 💭
内心活动气泡	内心活动气泡 💭
内衣	内衣 👙
内裤	内裤 🩲
冈比亚	冈比亚 🇬🇲
冈比亚共和国	冈比亚共和国 🇬🇲
再	再 🈞
再见	再见 (ToT)/~~~ (o__)ﾉ (。・_・)/~~~ (ㄏ￣▽￣)ㄏbyeㄟ(￣▽￣ㄟ) (ﾟдﾟ)つBye ┏(＾0＾)┛ ヾ(￣▽￣)Bye~Bye~ 👋
冒汗	冒汗 😅 😓 😰
冒汗焦虑	冒汗焦虑 😰
写	写 ㊢
写作	写作 ✍️
写信	写信 ✉️ 🖂
写字	写字 ✍️
写字板	写字板 📋
写字楼	写字楼 🏢
军人	军人 🪖
军功章	军功章 🎖️
军用头盔	军用头盔 🪖
军盔	军盔 🪖
农夫	农夫 🧑‍🌾
农妇	农妇 🧑‍🌾
农民	农民 🧑‍🌾
农民工	农民工 👷
冠军	冠军 🏆 🥇
冥想	冥想 🧘
冥王星	冥王星 ♇
冬	冬 🀩
冰	冰 ❄️ 🧊
冰上溜石	冰上溜石 🥌
冰冷	冰冷 🥶
冰块	冰块 🧊
冰壶	冰壶 🥌
冰岛	冰岛 🇮🇸
冰沙	冰沙 🍧
冰淇淋	冰淇淋 🍦 🍨
冰激凌	冰激凌 🍦 🍨
冰球	冰球 🏒
冲浪	冲浪 🏄
冲浪者	冲浪者 🏄
冷	冷 🥶
冷冰冰	冷冰冰 🥶
冷死	冷死 🥶
冷死了	冷死了 🥶
冷汗	冷汗 😅 😓 😰
冷漠	冷漠 😐 😶
冷笑	冷笑 （￣ー￣） 😏
冷脸	冷脸 🥶
冷饮	冷饮 🍹
冻	冻 🥶
冻僵	冻僵 🥶
冻僵了	冻僵了 🥶
冻死	冻死 🥶
冻死了	冻死了 🥶
凉爽	凉爽 🆒
凉鞋	凉鞋 👡 🩴
凋谢	凋谢 🥀
凋零	凋零 🥀
减	减 ➖
减号	减号 ➖
减少	减少 📉
几何	几何 ┳┓┣╋┫┗┻┛╔╦ ■ □ ▢ ▣ ▤ ▥ ▦ ▧ ▨ ▩ ▬ ▮ ▯ ▰ ▱ ▲ △ ▴ ▵ ▷ ▸ ▹ ► ▻ ▼ ▽ ▾ ▿ ◁ ◂ ◃ ◄ ◅ ◆ ◇ ◈ ◉ ◊ ○ ◌ ◍ ◎ ● ◐ ◑ ◒ ◓ ◔ ◕ ◖ ◗ ◘ ◙ ◚ ◛ ◢ ◣ ◤ ◥ ◦⦿ ◧ ◨ ◩ ◪ ◫ ◬ ◭ ◮ ◯ ◰ ◱ ◲ ◳ ◴ ◵ ◶ ◷ ◸ ◹ ◺ ◿ ❍ ❏ ❐ ❑ ❒ ❖ ❘ ❙ ❚
几内亚	几内亚 🇬🇳
几内亚共和国	几内亚共和国 🇬🇳
几内亚比绍	几内亚比绍 🇬🇼
几内亚比绍共和国	几内亚比绍共和国 🇬🇼
几尼	几尼 ㌑
凤凰	凤凰 🐦‍🔥
凤尾蝶	凤尾蝶 🦋
凤梨	凤梨 🍍
凭据	凭据 🧾
凳子	凳子 🪑
凶	凶 (+(工)+╬)
出口成脏	出口成脏 🤬
出国	出国 💱
出拳	出拳 👊 🤛 🤜
出汗	出汗 💦 😓 🥵
出生	出生 🐣
出租车	出租车 🚕 🚖 🚗 🚘
击剑	击剑 🤺
击剑者	击剑者 🤺
击剑选手	击剑选手 🤺
击掌	击掌 (￣ー￣)人(^▽^) ✋ 🫷 🫸
刀	刀 🍴 🍽️ 🔪 🗡️
刀叉	刀叉 🍴 🍽️
分	分 ㌣ ㌥
分手	分手 💔
分裂	分裂 分＞(￣▽￣=￣︿￣)<裂
切	切 (ˉ▽￣～)切~~ •᷄ࡇ•᷅
切鸡鸡	切鸡鸡 (*・ω・)✄╰ひ╯
划船	划船 🚣
划艇	划艇 🚣
列支敦士登	列支敦士登 🇱🇮
列支敦士登公国	列支敦士登公国 🇱🇮
列车	列车 🚄 🚅
刚果	刚果 🇨🇩 🇨🇬
刚果布	刚果布 🇨🇬
刚果金	刚果金 🇨🇩
刚果（布）	刚果（布） 🇨🇬
刚果（金）	刚果（金） 🇨🇩
创口贴	创口贴 🩹
创可贴	创可贴 🩹
初	初 🈠
初学者	初学者 🔰
删除	删除 ⌦ ⌫ 🆑
刨冰	刨冰 🍧
利比亚	利比亚 🇱🇾
利比亚国	利比亚国 🇱🇾
利比里亚	利比里亚 🇱🇷
利比里亚共和国	利比里亚共和国 🇱🇷
别	别 (＞﹏＜)
别墅	别墅 🏘️ 🏡
别说话	别说话 🤫
别走	别走 _____λ......___丬别走啊～～
别针	别针 📎 🖇️ 🧷
刮胡刀	刮胡刀 🪒
刷新	刷新 ⟲ 🔃 🔄
刷牙	刷牙 🪥
刺猬	刺猬 🦔
剃刀	剃刀 🪒
剃须刀	剃须刀 🪒
前	前 🈜
前台	前台 💁
前方施工	前方施工 🚧
剑	剑 ⚔️
剑斗	剑斗 🤺
剪丁丁	剪丁丁 (*・ω・)✄╰ひ╯
剪刀	剪刀 ✁ ✂️ ✃ ✄
剪刀手	剪刀手 ✌️
剪发	剪发 💇
剪头	剪头 💇
剪头发	剪头发 💇
剪子	剪子 ✁ ✂️ ✃ ✄
剪影	剪影 👤 👥 🗣️ 🫂
剪贴板	剪贴板 📋
割	割 🈹
力量	力量 ┗|*｀0′*|┛ 🃧 💪 🦾
办公室职员	办公室职员 🧑‍💼
办公楼	办公楼 🏢
功勋	功勋 🎖️
加	加 ➕
加仑	加仑 ㌎
加冰	加冰 🧊
加勒比	加勒比 🇧🇶
加号	加号 ➕
加拿大	加拿大 🇨🇦
加油	加油 (ง•̀_•́)ง ୧(๑•̀⌄•́๑)૭ ⛽ 💪
加油站	加油站 ⛽
加纳	加纳 🇬🇭
加纳共和国	加纳共和国 🇬🇭
加纳利群岛	加纳利群岛 🇮🇨
加蓬	加蓬 🇬🇦
动物脚印	动物脚印 🐾
动车	动车 🚄 🚅
助听器	助听器 🦻
努力	努力 💪
劳	劳 ㈸ ㊘
勋章	勋章 🎖️
勺	勺 🥄
勺子	勺子 🥄
勾	勾 ☑️ ✅ ✓ ✔️ ⭕ 🗸 🗹
勾号	勾号 ✔️ 🗸
勾号按钮	勾号按钮 ✅
勾选	勾选 ☑️ ✔️ 🗸 🗹
勾选框	勾选框 ☑️ 🗹
勿丢垃圾	勿丢垃圾 🚯
勿扔垃圾	勿扔垃圾 🚯
包	包 🎒 👛 👜 👝 💼
包包	包包 👜
包装	包装 🎁 📦
包装盒	包装盒 🎁
包裹	包裹 📦
匈牙利	匈牙利 🇭🇺
匕首	匕首 † ‡ 🗡️
化妆	化妆 🥸
化学家	化学家 🧑‍🔬
北	北 🀃
北朝鲜	北朝鲜 🇰🇵
北极熊	北极熊 🐻‍❄️
北极熊头	北极熊头 🐻‍❄️
北极熊脸	北极熊脸 🐻‍❄️
北韩	北韩 🇰🇵
北风	北风 🀃
北马其顿	北马其顿 🇲🇰
北马其顿共和国	北马其顿共和国 🇲🇰
北马里亚纳群岛	北马里亚纳群岛 🇲🇵
匙	匙 🥄
匙子	匙子 🥄
匹诺曹	匹诺曹 🤥
医	医 ㊩
医护人员	医护人员 🧑‍⚕️
医生	医生 🧑‍⚕️
医疗	医疗 ⚕️
医疗标志	医疗标志 ⚕️
医疗符号	医疗符号 ⚕️
医院	医院 🏥
十	十 〸 🔟
十一月	十一月 🌛
十一点	十一点 🕚
十一点半	十一点半 🕦
十一点钟	十一点钟 🕚
十二月	十二月 🌜
十二点	十二点 🕛
十二点半	十二点半 🕧
十二点钟	十二点钟 🕛
十八禁	十八禁 🔞
十六分音符	十六分音符 ♫
十字头盔	十字头盔 ⛑️
十字安全帽	十字安全帽 ⛑️
十字架	十字架 ✝️ 🕆
十月	十月 🌚
十点	十点 🕙
十点半	十点半 🕥
十点钟	十点钟 🕙
千	千 ㌔
千兆	千兆 ㌐
千克	千克 ㌕
千瓦	千瓦 ㌗
千米	千米 ㌖
升	升 ㍑
升值	升值 💹
升级	升级 🆙
升降机	升降机 🛗
半夜	半夜 🌃
半身像	半身像 👤 👥
华夫饼	华夫饼 🧇
协	协 ㈿ ㊯
卒	卒 ♙
单亲家庭	单亲家庭 👨‍👦 👨‍👦‍👦 👨‍👧 👨‍👧‍👦 👨‍👧‍👧 👩‍👦 👩‍👦‍👦 👩‍👧 👩‍👧‍👦 👩‍👧‍👧 🧑‍🧒 🧑‍🧒‍🧒
单峰骆驼	单峰骆驼 🐪
单引号	单引号 「」
单曲	单曲 🔂
单曲循环	单曲循环 🔂
单板滑雪	单板滑雪 🏂
单片眼镜	单片眼镜 🧐
单眼	单眼 👁️
单眼偷看	单眼偷看 🫣
单眼吐舌	单眼吐舌 😜
单膝跪地	单膝跪地 🧎 🧎‍➡️
单蛇之杖	单蛇之杖 ⚕️
单车	单车 🚲
单轨	单轨 🚝
单轨铁路	单轨铁路 🚝
单选	单选 🔘
单选按钮	单选按钮 🔘
单选框	单选框 🔘
南	南 🀁
南乔治亚	南乔治亚 🇬🇸
南乔治亚和南桑威奇群岛	南乔治亚和南桑威奇群岛 🇬🇸
南朝鲜	南朝鲜 🇰🇷
南极洲	南极洲 🇦🇶
南瓜	南瓜 🎃
南瓜头	南瓜头 🎃
南瓜灯	南瓜灯 🎃
南苏丹	南苏丹 🇸🇸
南苏丹共和国	南苏丹共和国 🇸🇸
南通	南通 👨‍❤️‍👨 👨‍❤️‍💋‍👨
南非	南非 🇿🇦
南非共和国	南非共和国 🇿🇦
南韩	南韩 🇰🇷
南风	南风 🀁
博士	博士 🧑‍🎓
博物馆	博物馆 🏛️
博茨瓦纳	博茨瓦纳 🇧🇼
博茨瓦纳共和国	博茨瓦纳共和国 🇧🇼
占卜	占卜 🔮
占星	占星 ⚿
卡塔尔	卡塔尔 🇶🇦
卡塔尔国	卡塔尔国 🇶🇦
卡片存档盒	卡片存档盒 🗃️
卡片盒	卡片盒 🗃️
卡片相机	卡片相机 📷
卡片索引	卡片索引 📇
卡片索引分隔卡	卡片索引分隔卡 🗂️
卡牌索引	卡牌索引 📇
卡路里	卡路里 ㌍
卡车	卡车 ⛟ 🚛
卢布	卢布 ₽ ㍔
卢旺达	卢旺达 🇷🇼
卢旺达共和国	卢旺达共和国 🇷🇼
卢森堡	卢森堡 🇱🇺
卢森堡大公国	卢森堡大公国 🇱🇺
卢比	卢比 ㍓
卫兵	卫兵 💂
卫士	卫士 💂
卫星	卫星 🛰️
卫星天线	卫星天线 📡
卫生工作者	卫生工作者 🧑‍⚕️
卫生纸	卫生纸 🧻
卫生间	卫生间 🚻 🚾
印	印 ㊞
印刷机	印刷机 🖨️
印度	印度 🇮🇳
印度共和国	印度共和国 🇮🇳
印度寺庙	印度寺庙 🛕
印度尼西亚	印度尼西亚 🇮🇩
印度尼西亚共和国	印度尼西亚共和国 🇮🇩
印度庙	印度庙 🛕
印度油灯	印度油灯 🪔
印度洋	印度洋 🇮🇴
危地马拉	危地马拉 🇬🇹
危楼	危楼 🏚️
危险	危险 ☠️ ☢️ ☣️ ⚠️
卷发	卷发 👨‍🦱 👩‍🦱 🦱
卷发女	卷发女 👩‍🦱
卷发女人	卷发女人 👩‍🦱
卷发女子	卷发女子 👩‍🦱
卷曲环	卷曲环 ➰
卷毛狗	卷毛狗 🐩
卷烟	卷烟 🚬
卷纸	卷纸 🧻
卷轴	卷轴 📜
卷边的纸	卷边的纸 📃
卷饼	卷饼 🌮 🌯
厄瓜多尔	厄瓜多尔 🇪🇨
厄瓜多尔共和国	厄瓜多尔共和国 🇪🇨
厄立特里亚	厄立特里亚 🇪🇷
厄立特里亚国	厄立特里亚国 🇪🇷
厅	厅 ㍁
厉害	厉害 （。＾▽＾） 👍
压力	压力 ㍱
压强	压强 ㍱
厌恶	厌恶 🙃 🙄
厕所	厕所 🚹 🚺 🚻 🚾
厘	厘 ㌢
原子	原子 ⚛️
原子符号	原子符号 ⚛️
原木	原木 🪵
厨师	厨师 🧑‍🍳
去	去 (ーー゛) 乀(ˉεˉ乀)
参考	参考 ※
叉	叉 × ☒ ✖️ ✗ ✘ ❌ ❎ 🔱 🗴 🗶
叉叉	叉叉 ❌ ❎ 🗴 🗶
叉号	叉号 ❌ 🗴 🗶
叉号按钮	叉号按钮 ❎
叉梳	叉梳 🪮
双	双 🈒
双人	双人 👥
双人像	双人像 👥
双剑	双剑 ⚔️
双剑交叉	双剑交叉 ⚔️
双卷曲环	双卷曲环 ➿
双叹号	双叹号 ‼️
双子	双子 ♊
双子座	双子座 ♊
双峰骆驼	双峰骆驼 🐫
双引号	双引号 『』
双惊叹号	双惊叹号 ‼️
双感叹	双感叹 ‼️
双感叹号	双感叹号 ‼️
双手	双手 👐 🤲
双手合十	双手合十 🙏
双手张开	双手张开 👐
双眼	双眼 👀
双耳瓶	双耳瓶 🏺
双肩包	双肩包 🎒
双鱼	双鱼 ♓
双鱼座	双鱼座 ♓
反	反 ¬
反对	反对 (ﾟДﾟ*)ﾉ 🙅
反派	反派 🦹
反胃	反胃 🤢
发	发 🀅
发件	发件 📤
发件箱	发件箱 📤
发传真	发传真 📠
发信	发信 📤
发型	发型 🦰 🦱 🦲 🦳
发夹	发夹 🪮
发抖	发抖 😨 😱
发火	发火 😡
发烧	发烧 🤒 🥵
发热	发热 🥵
发票	发票 🧾
发红包	发红包 🧧
发色	发色 🦰 🦱 🦲 🦳
发芽	发芽 🌱
发财	发财 🀅 🤑
发邮件	发邮件 📤
发飙	发飙 😡
取款机	取款机 🏧
受伤	受伤 ❤️‍🩹 🤕 🩸
受伤的心	受伤的心 ❤️‍🩹
受伤的心灵	受伤的心灵 ❤️‍🩹
变形的脸	变形的脸 🫪
变形虫	变形虫 🦠
变性	变性 ⚧️ 🏳️‍⚧️
变装	变装 🥸
叙利亚	叙利亚 🇸🇾
叙利亚共和国	叙利亚共和国 🇸🇾
口	口 👄 🫦
口水	口水 （¯﹃¯） 🤤
口水黄豆	口水黄豆 🤤
口红	口红 💄
口罩	口罩 😷
古典建筑	古典建筑 🏛️
古巴	古巴 🇨🇺
古巴共和国	古巴共和国 🇨🇺
古建筑	古建筑 🏛️
可	可 🉑
可以	可以 🆗 🉑 👌 👍 🙆
可回收	可回收 ♻️
可怕	可怕 ヽ(*。>Д<)o゜ 😨 😱
可怜	可怜 🥹 🥺
可怜兮兮	可怜兮兮 🥺
可恶	可恶 (〃＞目＜) （＝。＝）
可接受	可接受 🉑
可爱	可爱 (˃̶͈̯̜˂̶͈ˊ)︠³ (ฅ>ω<*ฅ) (๑>؂<๑) (๑˙ー˙๑) (๑•́₃•̀๑) (๑•ี_เ•ี๑) (﹡ˆoˆ﹡) (｡･∀･)ﾉ n(*≧▽≦*)n ☻ （*＾-＾*） 😊
可能	可能 🤔
台式机	台式机 🖥️ 🗔
台式电脑	台式电脑 🖥️ 🗔
台湾	台湾 🇹🇼
台球	台球 🎱
台钟	台钟 🕰️
台风	台风 🌀
右	右 → ⇉ ⇒ ⇢ ⇨ ➡️ ㊨ 🈮
右上	右上 ↗️ ⤴️
右上箭头	右上箭头 ↗️
右下	右下 ↘️ ⤵️
右下箭头	右下箭头 ↘️
右双角引号	右双角引号 »
右向拳	右向拳 🤜
右射线	右射线 🗧
右手	右手 🫱 🫴 🫸
右拳	右拳 🤛
右推	右推 🫸
右箭头	右箭头 → ➡️
右转	右转 ↩️
右边	右边 👉
右钩拳	右钩拳 🤛
右面	右面 👉
叶	叶 ☘️ 🌱 🌿 🍀 🍁 🍂 🍃 🥬
叶子	叶子 ☘️ 🌱 🌿 🍀 🍁 🍂 🍃 🥬
号	号 🎺 📯
叹	叹 ¡ ‼️ ⁉️ ❕ ❗ 😮 😲
叹号	叹号 ¡ ‼️ ⁉️ ❕ ❗
叹号问号	叹号问号 ⁉️
叹气	叹气 😮‍💨
叹问号	叹问号 ⁉️
吃惊	吃惊 😦 😧 😮 😯 😲
吃比萨	吃比萨 🍕
吃比萨饼	吃比萨饼 🍕
吃瓜	吃瓜 🍉
吃糖	吃糖 🍬
吃肉	吃肉 🍖
吃面	吃面 🍜
吃饭	吃饭 (((((ヾ(o=^•ェ•)o┏━┓ ψ(｀∇´)ψ
合	合 🈴
合上的锁	合上的锁 🔒
合作	合作 🤝
合作愉快	合作愉快 🤝
合十	合十 🙏
合掌	合掌 🙏
合格	合格 🈴
吉他	吉他 🎸
吉尔吉斯共和国	吉尔吉斯共和国 🇰🇬
吉尔吉斯斯坦	吉尔吉斯斯坦 🇰🇬
吉布提	吉布提 🇩🇯
吉布提共和国	吉布提共和国 🇩🇯
吊牌	吊牌 🏷️
同	同 〻
同性	同性 ⚢ ⚣ 🏳️‍🌈 👨‍❤️‍👨 👨‍❤️‍💋‍👨 👨‍🤝‍👨 👩‍❤️‍👩 👩‍❤️‍💋‍👩 👬 👭
同性恋	同性恋 ⚢ ⚣ 🏳️‍🌈 👨‍❤️‍👨 👨‍❤️‍💋‍👨 👨‍🤝‍👨 👩‍❤️‍👩 👩‍❤️‍💋‍👩 👩‍🤝‍👩 👬 👭
同性旗	同性旗 🏳️‍🌈
同意	同意 (。・∀・)ノ 🙆
名	名 ㈴ ㊔
后	后 ♕ ♛ 🈝
吐	吐 (>ρ<”) 🤮
吐了	吐了 🤮
吐出来	吐出来 🤮
吐槽	吐槽 (#`O′)
吐舌	吐舌 😛 😜 😝
吐舌头	吐舌头 😛 😜 😝
吐血	吐血 _(´ཀ`」∠)_
向上	向上 👆
向上三角	向上三角 🔼
向上指	向上指 👆
向上箭头	向上箭头 ⬆️
向下	向下 👇
向下三角	向下三角 🔽
向下指	向下指 👇
向下箭头	向下箭头 ⬇️
向右	向右 👉
向右指	向右指 👉
向右推	向右推 🫸
向右箭头	向右箭头 ➡️
向左	向左 👈
向左指	向左指 👈
向左推	向左推 🫷
向左箭头	向左箭头 ⬅️
向日葵	向日葵 🌻
向阳花	向阳花 🌻
吓	吓 !!!∑(°Д°ノ)ノ (*Φ皿Φ*) (☄⊙ω⊙)☄
吓人	吓人 😱
吓死	吓死 😱
吓死了	吓死了 😱
君主	君主 🫅
吨	吨 ㌧
含泪	含泪 🥹
含泪的笑脸	含泪的笑脸 🥲
含泪笑脸	含泪笑脸 🥲
听	听 👂 🦻
听不见	听不见 🙉
听力障碍	听力障碍 🦻
听诊器	听诊器 🩺
吸把	吸把 🪠
吸气	吸气 🫁
吸烟	吸烟 🚬
吸管杯	吸管杯 🥤
吸血鬼	吸血鬼 🧛
吸铁石	吸铁石 🧲
吹	吹 🈥 🌬️
吹口气	吹口气 🌬️
吹拂	吹拂 🌬️
吹气	吹气 🌬️
吹风	吹风 🌬️
吻	吻 💋
吻痕	吻痕 💋
呃	呃 (⊙﹏⊙) (⊙﹏⊙)呃~~ 🤔
呆	呆 (⊙_⊙)
呆子	呆子 🤓
告状	告状 ～(TロT)σ
呕吐	呕吐 (>ρ<”) 🤮
周期	周期 ㌟
呵呵	呵呵 (￣▽￣)" 눈_눈 🙂 🙃
呵欠	呵欠 🥱
呸	呸 😖
呼	呼 ㈺
呼吸	呼吸 👃
呼吸作用	呼吸作用 🫁
呼机	呼机 📟
呼气	呼气 😮‍💨 🫁
命中	命中 🎯
命运之轮	命运之轮 🃩
和尚	和尚 👨‍🦲
和平	和平 ☮️ 🕊️
和平手势	和平手势 ✌️
和平标志	和平标志 ☮️
和平符号	和平符号 ☮️
和服	和服 👘
咒骂	咒骂 🤬
咕咕嘎嘎	咕咕嘎嘎 🐧
咖啡	咖啡 ☕
咖啡杯	咖啡杯 ☕
咖喱	咖喱 🍛
咖喱饭	咖喱饭 🍛
咧嘴笑	咧嘴笑 😁
咬住嘴唇	咬住嘴唇 🫦
咬嘴唇	咬嘴唇 🫦
咬牙	咬牙 😬
咬牙切齿	咬牙切齿 😬
哇	哇 wow~⊙o⊙ 🤩
哈	哈 ⸜(⌓̈)⸝ 😄
哈哈	哈哈 *´∀`)´∀`)*´∀`)*´∀`) ○(＾皿＾)っHiahiahia… 😃 😄
哈密瓜	哈密瓜 🍈
哈欠	哈欠 ٩(๑´0`๑)۶ 🥱
哈萨克斯坦	哈萨克斯坦 🇰🇿
哈萨克斯坦共和国	哈萨克斯坦共和国 🇰🇿
哈雷	哈雷 ☄️
哈雷彗星	哈雷彗星 ☄️
响指	响指 🫰
响铃关闭	响铃关闭 🔕
哥伦比亚	哥伦比亚 🇨🇴
哥伦比亚共和国	哥伦比亚共和国 🇨🇴
哥布林	哥布林 👺
哥斯达黎加	哥斯达黎加 🇨🇷
哥斯达黎加共和国	哥斯达黎加共和国 🇨🇷
哦	哦 (⊙o⊙)… ´_>` ｍ(o・ω・o)ｍ 😮 😯
哦耶	哦耶 ✌️
哭	哭 (*꒦ິ⌓꒦ີ) (;´༎ຶД༎ຶ`) (இωஇ) (•̥́ˍ•̀ू) (ノへ￣、) o(TヘTo) థ౪థ ಥ_ಥ ┭┮﹏┭┮ 〒▽〒 〜(Ｔ△Ｔ〜)(〜Ｔ△Ｔ)〜 😢 😭 😿 🥲 🥹
哭了	哭了 😢 😭
哭泣	哭泣 😢 😭
哭泣猫	哭泣猫 😿
哭泣猫脸	哭泣猫脸 😿
哭泣的猫	哭泣的猫 😿
哺乳	哺乳 🤱 🧑‍🍼
哼	哼 (ˇ╮ˇ) o(￣ヘ￣o＃) 😤
哼哼	哼哼 😤
唇	唇 👄 💋
唇印	唇印 💋
唇膏	唇膏 💄
唉	唉 😮‍💨
商场	商场 🏬
商店	商店 🏪 🏬
商标	商标 ®️ ™️
商超	商超 🏬
啊	啊 (＃°Д°)啊？ w(ﾟДﾟ)w ヽ(´･д･｀)ﾉ Ｏ(≧口≦)Ｏ 😦 😧 😲
啤酒	啤酒 🍺 🍻
啤酒肚	啤酒肚 🫃
啪啪啪	啪啪啪 👏
啵一个	啵一个 😘
啵儿一个	啵儿一个 😘
喀麦隆	喀麦隆 🇨🇲
喀麦隆共和国	喀麦隆共和国 🇨🇲
喂	喂 (#`O′)
喂奶	喂奶 🤱 🧑‍🍼
喇叭	喇叭 ㍂ 🎺 📢 📣 📯
喇叭筒	喇叭筒 📣
喜极而泣	喜极而泣 😹
喜欢	喜欢 (´▽`ʃ♡ƪ) ♥️ 😍 😗 😘 😙 😚 🥰
喜笑颜开	喜笑颜开 🥰
喝咖啡	喝咖啡 ☕
喝多	喝多 🥴
喝多了	喝多了 🥴
喝奶	喝奶 🍼
喝茶	喝茶 🍵
喝醉	喝醉 （〃｀3′〃） 🥴
喝醉了	喝醉了 🥴
喵	喵 🐱
喵喵	喵喵 🐱
喵喵叫	喵喵叫 🐱
喵喵喵	喵喵喵 🐱
喷嚏	喷嚏 🤧
喷头	喷头 🚿
喷水	喷水 🐳
喷泉	喷泉 ⛲
嗅	嗅 👃
嗨	嗨 (｡･∀･)ﾉﾞ Hi~o(*￣▽￣*)ブ ヾ(≧∇≦*)ゝ
嗷	嗷 (>▽<) ┗|｀O′|┛嗷~~ ヾ(≧O≦)〃嗷~
嘎嘎	嘎嘎 🦆
嘘	嘘 🤫 🤭
嘚瑟	嘚瑟 ʅ（´◔౪◔）ʃ ⁽⁽ଘ(ˊᵕˋ)ଓ⁾⁾ 〜(￣▽￣〜)(〜￣▽￣)〜 ～(￣▽￣～)~
嘟嘟车	嘟嘟车 🛺
嘲笑	嘲笑 😝
嘴	嘴 👄 🫦
嘴唇	嘴唇 👄 🫦
